name,category,unit_of_measurement,description,specifications,is_active
A3 - 100W Felicity Solar Streetlight,Solar Appliances,Units (units),,,1
P2 - 80W Felicity Solar Streetlight,Solar Appliances,Units (units),,,1
"1/2"" Filingo Socket",Plumbing Fittings,Pieces (pcs),,,1
"1/2"" PPR plug",Plumbing Fittings,Pieces (pcs),,,1
Big Abro Gum,Site Consumables & Utilities,Pieces (pcs),,,1
Yarn Rope,Site Consumables & Utilities,Pieces (pcs),,,1
Abro Gasket Gum,Site Consumables & Utilities,Pieces (pcs),,,1
Choice Treaded Tape,Plumbing Fittings,Pieces (pcs),,,1
"3/4"" PPR Pipe",Plumbing & Sanitary Materials,Pieces (pcs),,,1
"3/4"" Rifeng Control",Plumbing Fittings,Pieces (pcs),,,1
"3/4"" Rifeng Tee",Plumbing Fittings,Pieces (pcs),,,1
"3/4"" Rifeng Elbow",Plumbing Fittings,Pieces (pcs),,,1
"3/4"" Rifeng Socket",Plumbing Fittings,Pieces (pcs),,,1
"3/4"" x 1/2 M/F Rifeng Elbow",Plumbing Fittings,Pieces (pcs),,,1
"3/4"" Rifeng Adopter",Plumbing Fittings,Pieces (pcs),,,1
"3/4"" x 1/2 Rifeng Adopter",Plumbing Fittings,Pieces (pcs),,,1
"3/4"" x 1/2 Rifeng Adapter Elbow",Plumbing Fittings,Pieces (pcs),,,1
"1"" x 3/4"" Rifeng Socket",Plumbing Fittings,Pieces (pcs),,,1
"1"" Rifeng Pipe 2000",Plumbing Fittings,Pieces (pcs),,,1
"1"" Rifeng Tee 5000",Plumbing Fittings,Pieces (pcs),,,1
"1"" Rifeng Elbow 4000",Plumbing Fittings,Pieces (pcs),,,1
"1"" Rifeng Control Valve",Plumbing Fittings,Pieces (pcs),,,1
"1"" Rifeng Adapter 6000",Plumbing Fittings,Pieces (pcs),,,1
"1"" Rifeng Socket 4500",Tools & Equipment,Pieces (pcs),,,1
Crimping (Clapping) Machine 195000,Plumbing & Sanitary Materials,Pieces (pcs),,,1
"4"" x 6 Bar Pipe 9000",Plumbing & Sanitary Materials,Pieces (pcs),,,1
"2"" x 6 Bar Pipe 3500",Plumbing & Sanitary Materials,Pieces (pcs),,,1
"4"" x 90° Bend 1500",Plumbing Fittings,Pieces (pcs),,,1
"4"" x 45° Bend 1200",Plumbing Fittings,Pieces (pcs),,,1
"4"" Tee 2000",Plumbing Fittings,Pieces (pcs),,,1
"4"" Y Tee 2000",Plumbing Fittings,Pieces (pcs),,,1
"4"" x 2"" Tee 2000",Plumbing Fittings,Pieces (pcs),,,1
"4"" x 2"" Socket 1000",Plumbing Fittings,Pieces (pcs),,,1
"2"" x 90° Bend 500",Plumbing Fittings,Pieces (pcs),,,1
"2"" x 45° Bend 500",Plumbing Fittings,Pieces (pcs),,,1
"2"" Tee 600",Plumbing Fittings,Pieces (pcs),,,1
"2"" Y Tee 700",Plumbing Fittings,Pieces (pcs),,,1
MMAAT Concealed Shower Stainless 5-Ways Conduit shower,Plumbing & Sanitary Materials,Pieces (pcs),,,1
"1/2"" South Pipe 77000",HVAC,Rolls (rolls),,,1
"1/4"" South Pipe 37000",HVAC,Rolls (rolls),,,1
Amaflex 1300,HVAC,Pieces (pcs),,,1
